Step,Time,Temp,PotEng,TotEng,Press,Volume
398000,397.999,84.549285,1551.0745,1594.779,137763.15,124728.41
399000,398.999,83.116953,1536.9186,1579.8826,136678.43,124902.98
400000,399.999,82.412918,1522.4172,1565.0174,135577.9,125078.95
401000,400.999,82.659655,1507.4024,1550.1301,134455.5,125256.34
402000,401.999,83.087084,1492.3128,1535.2615,133329.98,125435.18
403000,402.999,81.761926,1478.1106,1520.3743,132247.15,125615.47
404000,403.999,83.524027,1462.3304,1505.5049,131092.45,125797.25
405000,404.999,82.172374,1448.1623,1490.6381,130012.47,125980.53
406000,405.999,81.667053,1433.5517,1475.7663,128914.16,126165.34
407000,406.999,79.572232,1419.7565,1460.8883,127853.52,126351.69
